"folder","id","display_name","description","type","units","domain","labels","calculation","commonly_used","forms"
"Administrative","id","Participant's ID","IDs are 6 digits; however, participants who participated in a previous study in the lab will have an 8-digit ID: 2 digits following their 6-digit study id to indicate previous lab study participation and how many studies [02 at end is one previous study; 03 is two, etc.] ","identifier","","","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Administrative","season","Season at time of dems data collection; calculated using defined dates for start and end of each season in each year of study","","choices","","season","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Administrative","season_demsfile","Variable in original demographics file defining season","","choices","","season","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Administrative","session","Study session; refers to timepoint of data collection.","","choices","","session","sandd_ADI_cleaned_DelD;sandd_BDI_Scored_DelD;sandd_CESD_Scored_DelD;sandd_Coddington Parent_DelD; sand_Coddington Student_DelD;
sandd_Dems_ Scores dimo_ ETOHhx_ season_ pds_DelD;sandd_Mood_sleepiness_DelD;sandd_NeuropsychTestingData_DelD;sandd_RCMAS_DelD;sandd_ScoredActigraphy_withSessionSeason_DelD",,,
"Administrative","year_study","Year of study participation. Enrollment began in 2002; every 6 mos follow up continued until last one in 2007.","","integer","","","sandd_Mood_sleepiness_DeID;sandd_ScoredActigraphy_withSessionSeason_DeID;sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Anthropometry","comments_peform","Comments","Study team comments re tanner staging assessment recorded on physical exam form","text","","","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Anthropometry","height_physexam","Participant's height","height_physexam - ppts height as recorded on physical exam form during tanner assessment","numeric","inches (in)","","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Anthropometry","tannero","Assessed tanner stage (other characteristics)","","integer","","","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Anthropometry","tannerph","Assessed tanner stage (pubic hair)","","integer","","","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Anthropometry","weight_physexam","Participant's weight as recorded on physical exam form during tanner assessment","","numeric","pounds (lb)","","sandd_Dems_Scores_dlmo_ETOHhx_season_pds_DeID",,,
"Clinical Data/Neurobehavioral Assessment/Rey Complex Figure Test and Recognition Trial","rey_admin","Rey-O administered and pulled for scoring.","","choices","","yes1_no0","sandd_NeuropsychTestingData_DeID",,,
